City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
PHANGNGA,TH,8.842525396014045,96.8478426388516,89.01,79.0,40.0,2.3,26/04/2021
JAMESTOWN,SH,-25.059760510036966,-16.012518676329158,34.0,86.0,40.0,10.36,26/04/2021
BURNIE,AU,-42.04534927326514,145.49240947795738,63.0,58.0,11.0,11.01,26/04/2021
CAPE TOWN,ZA,-61.07374564454042,-12.95802037459417,62.6,82.0,75.0,9.22,26/04/2021
MATAURA,PF,-53.28077614104229,-147.9999341034427,48.0,72.0,100.0,20.0,26/04/2021
NEON MONASTIRION,GR,39.2232440746351,22.321932408593682,53.01,100.0,0.0,2.13,26/04/2021
USHUAIA,AR,-75.05754332505077,-43.665127956688885,46.4,76.0,75.0,12.66,26/04/2021
RIKITEA,PF,-45.23311612212195,-138.17976842296892,77.95,74.0,26.0,5.28,26/04/2021
TUKTOYAKTUK,CA,75.52078064398326,-137.66784342314148,12.2,79.0,90.0,11.5,26/04/2021
SAO FILIPE,CV,7.529622891123289,-33.40864704431681,71.73,71.0,99.0,9.42,26/04/2021
ATUONA,PF,3.3096389370209867,-129.49974652804838,80.01,76.0,64.0,16.78,26/04/2021
ATHABASCA,CA,56.67324017346559,-112.36422720173462,46.4,26.0,100.0,6.91,26/04/2021
PONTA DO SOL,PT,33.72668481134989,-21.963307887582783,59.0,83.0,47.0,1.99,26/04/2021
FORTUNA,US,31.08376228876234,-139.55853782319437,50.0,87.0,75.0,3.44,26/04/2021
CLYDE RIVER,CA,73.25634038433219,-74.92165292225863,23.0,93.0,90.0,18.41,26/04/2021
KAVIENG,PG,9.840664801068556,151.9362131079918,84.22,66.0,94.0,2.59,26/04/2021
PARALIMNI,CY,34.526798886399455,34.5129942214007,59.0,82.0,0.0,3.44,26/04/2021
WAINGAPU,ID,-13.619411819661241,118.6915315354544,84.51,55.0,18.0,12.08,26/04/2021
NACO,MX,31.012160742307003,-109.8237755708376,71.6,7.0,1.0,9.22,26/04/2021
BERINGOVSKIY,RU,57.95717515778115,177.11805772461025,31.93,90.0,52.0,1.52,26/04/2021
BANDRELE,YT,-13.398373040103973,45.81965715803562,77.0,88.0,0.0,13.8,26/04/2021
MUROS,ES,43.301047764351964,-16.54010072051173,55.0,95.0,16.0,4.85,26/04/2021
BARAUNA,BR,-5.296848644437202,-37.653100182376505,74.05,88.0,10.0,6.76,26/04/2021
CHUY,UY,-54.4372514909925,-27.648957754379722,60.03,77.0,54.0,8.23,26/04/2021
QAANAAQ,GL,84.38775218818564,-85.72420975054742,28.44,64.0,5.0,8.9,26/04/2021
MAR DEL PLATA,AR,-62.03552052285257,-28.027490158242795,61.0,94.0,1.0,4.61,26/04/2021
GIGMOTO,PH,14.825552422098854,126.15586390924219,82.31,62.0,71.0,8.95,26/04/2021
KRUISFONTEIN,ZA,-51.903517817231815,25.00332065337101,64.02,61.0,100.0,4.43,26/04/2021
PORT LINCOLN,AU,-50.843027423107834,128.7678959236887,66.13,63.0,1.0,7.65,26/04/2021
HITHADHOO,MV,-18.007527598225014,79.53299748061838,82.6,67.0,63.0,4.5,26/04/2021
LONGYEARBYEN,SJ,87.01489149939029,18.40490180885117,12.2,73.0,20.0,5.75,26/04/2021
COLAC,AU,-38.96089414760285,143.7459156165375,57.0,96.0,99.0,7.05,26/04/2021
THOMPSON,CA,71.6680869092751,-98.56465292897552,30.2,100.0,90.0,2.21,26/04/2021
IQALUIT,CA,60.34446575474212,-64.30258148816226,32.0,93.0,90.0,2.3,26/04/2021
NECOCHEA,AR,-43.21373513121948,-57.26230923485636,55.0,88.0,49.0,4.65,26/04/2021
KYABE,TD,10.141071803554603,19.356247612145893,77.72,67.0,99.0,5.19,26/04/2021
PATHARDI,IN,19.25100287651046,75.11867228821998,90.21,31.0,99.0,8.1,26/04/2021
HOBART,AU,-65.2182959886838,153.19791775596156,66.2,45.0,20.0,19.57,26/04/2021
COCKBURN TOWN,TC,23.983413703415934,-69.80326450433041,78.33,74.0,50.0,16.73,26/04/2021
PORT ELIZABETH,ZA,-75.35384833856085,33.452606409143314,57.2,88.0,0.0,2.84,26/04/2021
BUSSELTON,AU,-33.2806175375945,102.27106863516372,73.0,65.0,99.0,3.0,26/04/2021
NEW NORFOLK,AU,-70.66598693504328,131.10229292715292,66.2,45.0,20.0,19.57,26/04/2021
AIRAI,PW,13.457624322424733,147.15086566836425,73.2,39.0,47.0,2.91,26/04/2021
YOUKOUNKOUN,GN,13.048337507076335,-12.93943887443072,80.85,33.0,7.0,8.61,26/04/2021
DAMAVAND,IR,35.98743521229616,52.12335618515016,71.6,26.0,40.0,4.61,26/04/2021
CODRINGTON,AG,22.906252109747694,-48.6000765411768,60.8,66.0,100.0,10.33,26/04/2021
SASKYLAKH,RU,85.21824988744281,110.97825546673492,14.61,90.0,100.0,22.44,26/04/2021
SISTRANDA,NO,67.24971057000658,7.179890297776725,35.6,93.0,75.0,6.91,26/04/2021
PUNTA ARENAS,CL,-72.58011331094744,-89.86840129184593,44.6,93.0,90.0,5.75,26/04/2021
WAGENINGEN,SR,4.686251288548049,-56.169768001425524,37.0,80.0,32.0,6.91,26/04/2021
ULLADULLA,AU,-37.755873672970054,154.89322521064054,69.01,42.0,0.0,5.75,26/04/2021
CARNARVON,AU,-23.674272942702355,108.93545496093344,89.6,22.0,1.0,6.91,26/04/2021
ANGOCHE,MZ,-17.664011499583676,41.4555618107326,73.31,92.0,83.0,3.29,26/04/2021
KATSUURA,JP,20.353734957808665,145.36682716108834,62.01,30.0,20.0,9.22,26/04/2021
NADYM,RU,64.70561499793219,71.78913458587964,34.09,98.0,100.0,17.2,26/04/2021
NANORTALIK,GL,50.57571841154852,-37.15579849384161,37.89,90.0,100.0,5.32,26/04/2021
